sku,inventory_units_on_hand,reorder_point,reorder_shortfall,supplier_on_time_delivery,demand_variability_cov,lead_time_days,safety_stock,on_hand_stock_value
56722.42673,925539,1583563.27,658024.27,1.0000,0.6000,130,375478.47,4876665.14
87484.99284,188038,652937.33,464899.33,1.0000,0.3100,76,77191.73,982692.53
64992.5687,181895,511312.34,329417.34,1.0000,0.3700,66,74531.38,1395586.72
36272.20584,63816,360340.12,296524.12,0.9200,0.1200,21,6469.68,334335.46
59649.09941,74857,325446.10,250589.10,1.0000,0.1700,35,15129.10,544249.78
45558.36564,72748,313815.62,241067.62,1.0000,0.3800,66,47131.62,538973.39
12618.77005,47774,251121.41,203347.41,0.8700,0.2600,181,23574.25,303071.34
87631.39657,32358,212034.05,179676.05,0.9300,0.1900,123,12179.55,227620.06
61431.51228,76673,239063.86,162390.86,0.8200,0.3900,35,36951.46,490624.03
77066.7326,193618,347223.16,153605.16,1.0000,0.4800,76,66678.28,1129564.97
54259.55534,58056,193761.85,135705.85,0.8500,0.2200,23,14223.85,392523.44
34319.52555,25872,150194.98,124322.98,0.9000,0.2500,66,13343.98,191911.53
20770.25794,65613,172886.81,107273.81,1.0000,0.1600,87,7073.51,461006.60
14804.73021,26631,121024.53,94393.53,1.0000,0.2400,66,10136.61,206020.76
79974.57181,21221,107579.46,86358.46,1.0000,0.2700,90,10634.46,108400.39
28852.23678,42867,129205.85,86338.85,1.0000,0.7500,66,37061.93,321458.09
97858.21251,53387,138605.65,85218.65,1.0000,0.4800,66,26616.85,395535.77
43989.70312,20537,94732.55,74195.55,0.7000,0.3300,61,12087.72,228825.15
70313.2463,32245,102408.71,70163.71,0.9000,0.3000,44,11619.11,230548.22
27746.72473,49484,118053.11,68569.11,1.0000,0.8000,66,35653.43,371074.93
67194.73671,44670,111751.75,67081.75,1.0000,0.4100,94,18236.79,273744.65
61763.28744,26013,90963.91,64950.91,0.8500,0.4400,76,15991.43,137466.63
17406.29569,14511,77872.25,63361.25,1.0000,0.3200,66,9573.25,107509.62
93540.85184,46993,103501.39,56508.39,0.8500,0.7400,46,29366.56,388702.10
95551.89527,123730,177858.31,54128.31,1.0000,0.4500,66,32000.07,927844.54
18382.47986,39924,92927.07,53003.07,1.0000,0.5200,16,19295.29,299388.12
66249.98903,18765,68370.61,49605.61,0.7000,0.7000,108,18528.61,345098.96
92199.42146,24874,72983.40,48109.40,0.7200,0.5200,130,15154.20,315697.37
28358.53042,14998,63056.19,48058.19,1.0000,0.5000,23,12605.69,107730.57
14950.11098,17399,64460.29,47061.29,0.8500,0.3200,23,7924.45,142536.03
57292.27939,14867,60729.61,45862.61,1.0000,0.4200,44,10168.33,387081.09
21691.1655,41024,84691.77,43667.77,1.0000,0.4900,23,16598.89,310793.66
14290.54489,16293,59193.49,42900.49,0.7200,0.5000,37,11833.49,97913.40
74844.42322,33888,74920.38,41032.38,1.0000,0.4300,66,12859.26,254735.82
54058.36796,28116,66272.61,38156.61,0.7500,0.3800,56,9953.41,150550.57
68753.34457,15547,53344.35,37797.35,0.8200,0.2600,78,5007.75,158137.11
91054.88135,11283,48170.18,36887.18,0.8200,0.3900,108,7445.54,117929.47
